Alcaudete,37.5969220320791,-4.1077515070
Andujar,38.1769522775717,-4.1036889444
Arquillos,38.222384034559,-3.40716740966
Arroyo-del-Ojanco,38.3143428652164,-2.8887365379
Baeza,37.9473126408528,-3.4980420648
Bailen,38.0802300067346,-3.7841766415
Beas-de-Segura,38.2554516046448,-2.8769142209
Campillo-de-Arenas,37.5911859861335,-3.6659549831
Cazorla,37.9214195284503,-2.9787961589
Fuensanta-de-Martos,37.6187541628278,-3.9154109678
Fuerte-del-Rey,37.9099609200921,-3.9064946263
Jaen,37.8258451226024,-3.7331593542
Linares,38.0973414206398,-3.6445510044
Lopera,37.9634673977807,-4.2261729527
Mancha-Real,37.86351642934,-3.601151327741
Martos,37.6708835174247,-4.0020080288
Mengibar,37.9701351128918,-3.7964491250
Navas-de-San-Juan,38.2350631404898,-3.3538349325
Noalejo,37.5388800264429,-3.6498563791
Puerta-de-Segura-La,38.380753038722,-2.79130508217
Santiago-Pontones,38.0866347039564,-2.6791804919
Santisteban-del-Puerto,38.3315655988822,-3.2572427498
Segura-de-la-Sierra,38.2253105069137,-2.6678160745
Siles,38.4070991555961,-2.6085579977
Torredonjimeno,37.7890687759046,-4.0476679615
Torres,37.7872469237989,-3.5207139115
Ubeda,37.997184368684,-3.26672595928
Valdepenas-de-Jaen,37.5733732188478,-3.7566639077
Villacarrillo,38.0905636409515,-3.0266871958
Villarrodrigo,38.4882844230363,-2.6863898679
